time	I(Ls1)
4.958831588922357e-005	-2.621980e-005
4.958835422494532e-005	-3.180701e-004
4.958840890029073e-005	-5.811763e-004
4.958844779973603e-005	-6.041920e-004
4.958848185697461e-005	-4.741775e-004
4.958851639363742e-005	-2.355973e-004
4.958854955362389e-005	3.806930e-005
4.958859569012585e-005	3.837138e-004
4.958863921021377e-005	5.799694e-004
4.958868177895853e-005	5.791556e-004
4.958872761243812e-005	3.773968e-004
4.958876354434877e-005	1.124600e-004
4.958880327494259e-005	-2.097443e-004
4.958884838755480e-005	-5.006601e-004
4.958888560485501e-005	-6.142246e-004
4.958892031397622e-005	-5.770868e-004
4.958895376428471e-005	-4.179681e-004
4.958898743538404e-005	-1.704241e-004
4.958902382000570e-005	1.264405e-004
4.958907115550624e-005	4.527562e-004
4.958911048199579e-005	5.913959e-004
4.958915413532067e-005	5.457706e-004
4.958919980330937e-005	3.122448e-004
4.958923583069422e-005	3.651176e-005
4.958927482226006e-005	-2.632778e-004
4.958932765025985e-005	-5.459884e-004
4.958936663817777e-005	-6.020536e-004
4.958940116042915e-005	-5.021922e-004
4.958943646950990e-005	-2.841633e-004
4.958946881371490e-005	-2.785718e-005
4.958951202851383e-005	2.964996e-004
4.958956488495918e-005	5.491638e-004
4.958960939010311e-005	5.608188e-004
4.958965753938411e-005	3.540140e-004
4.958969446849622e-005	8.731335e-005
4.958973469357969e-005	-2.272915e-004
4.958978114477978e-005	-5.077041e-004
4.958981745977549e-005	-6.020376e-004
4.958985196056552e-005	-5.521452e-004
4.958988528376888e-005	-3.874716e-004
4.958991877167729e-005	-1.419044e-004
4.958995571479447e-005	1.508046e-004
4.959000388828397e-005	4.639203e-004
4.959004237032271e-005	5.767864e-004
4.959009132072634e-005	4.969420e-004
4.959013590791509e-005	2.524749e-004
4.959017220357363e-005	-2.681632e-005
4.959021129654511e-005	-3.070170e-004
4.959026751266151e-005	-5.557165e-004
4.959030653746508e-005	-5.691270e-004
4.959034044816550e-005	-4.384476e-004
4.959037477390111e-005	-2.081121e-004
4.959040753950471e-005	5.007237e-005
4.959045338651233e-005	3.742893e-004
4.959049625442402e-005	5.529977e-004
4.959053958631006e-005	5.457550e-004
4.959058583639455e-005	3.452529e-004
4.959062344830748e-005	7.843682e-005
4.959066449661156e-005	-2.317963e-004
4.959071249445424e-005	-5.053635e-004
4.959074924701856e-005	-5.872704e-004
4.959078374723179e-005	-5.265063e-004
4.959081687080100e-005	-3.574689e-004
4.959085011097377e-005	-1.149038e-004
4.959088757779703e-005	1.720653e-004
4.959093766636314e-005	4.734024e-004
4.959097734409386e-005	5.671596e-004
4.959102471208902e-005	4.684038e-004
4.959106659036417e-005	2.304427e-004
4.959110415208483e-005	-5.451180e-005
4.959114419208740e-005	-3.320336e-004
4.959119498385380e-005	-5.471886e-004
4.959123262342929e-005	-5.597716e-004
4.959126646310774e-005	-4.367152e-004
4.959130074632377e-005	-2.161362e-004
4.959133247075067e-005	2.745111e-005
4.959137754102587e-005	3.434794e-004
4.959142166420776e-005	5.326911e-004
4.959146512036072e-005	5.363730e-004
4.959151175170685e-005	3.470976e-004
4.959155027902231e-005	8.374356e-005
4.959159233406405e-005	-2.252054e-004
4.959164082621358e-005	-4.939529e-004
4.959167760385224e-005	-5.725736e-004
4.959171209680023e-005	-5.117999e-004
4.959174518958959e-005	-3.459840e-004
4.959177839854406e-005	-1.090796e-004
4.959181535187248e-005	1.672723e-004
4.959186512949222e-005	4.600536e-004
4.959190487050153e-005	5.528344e-004
4.959195218581769e-005	4.544794e-004
4.959199906884727e-005	1.904997e-004
