Freq.	I(Ls1)	I(Ls2)
1.15615615615615e+05	(-4.07760083082855e+01dB,2.74997997765765e+01°)	(-4.58937374270139e+01dB,1.33247499001283e+01°)
1.15715715715715e+05	(-4.07225342953816e+01dB,2.72898779916089e+01°)	(-4.58501019884785e+01dB,1.31599762761876e+01°)
1.15815815815816e+05	(-4.06690774640524e+01dB,2.70791166916995e+01°)	(-4.58064677455175e+01dB,1.29947234259360e+01°)
1.15915915915916e+05	(-4.06156383816235e+01dB,2.68675138583728e+01°)	(-4.57628348677035e+01dB,1.28289895508791e+01°)
1.16016016016016e+05	(-4.05622176201835e+01dB,2.66550675027917e+01°)	(-4.57192035276144e+01dB,1.26627728598945e+01°)
1.16116116116116e+05	(-4.05088157565498e+01dB,2.64417756663805e+01°)	(-4.56755739008280e+01dB,1.24960715696172e+01°)
1.16216216216216e+05	(-4.04554333722334e+01dB,2.62276364214524e+01°)	(-4.56319461659159e+01dB,1.23288839048301e+01°)
1.16316316316316e+05	(-4.04020710534003e+01dB,2.60126478718380e+01°)	(-4.55883205044360e+01dB,1.21612080988566e+01°)
1.16416416416416e+05	(-4.03487293908328e+01dB,2.57968081535166e+01°)	(-4.55446971009231e+01dB,1.19930423939581e+01°)
1.16516516516516e+05	(-4.02954089798865e+01dB,2.55801154352498e+01°)	(-4.55010761428795e+01dB,1.18243850417340e+01°)
1.16616616616616e+05	(-4.02421104204476e+01dB,2.53625679192168e+01°)	(-4.54574578207623e+01dB,1.16552343035254e+01°)
1.16716716716716e+05	(-4.01888343168860e+01dB,2.51441638416508e+01°)	(-4.54138423279711e+01dB,1.14855884508216e+01°)
1.16816816816817e+05	(-4.01355812780079e+01dB,2.49249014734773e+01°)	(-4.53702298608331e+01dB,1.13154457656692e+01°)
1.16916916916917e+05	(-4.00823519170053e+01dB,2.47047791209534e+01°)	(-4.53266206185870e+01dB,1.11448045410849e+01°)
1.17017017017017e+05	(-4.00291468514033e+01dB,2.44837951263075e+01°)	(-4.52830148033660e+01dB,1.09736630814700e+01°)
1.17117117117117e+05	(-3.99759667030061e+01dB,2.42619478683803e+01°)	(-4.52394126201780e+01dB,1.08020197030273e+01°)
1.17217217217217e+05	(-3.99228120978396e+01dB,2.40392357632657e+01°)	(-4.51958142768854e+01dB,1.06298727341811e+01°)
1.17317317317317e+05	(-3.98696836660924e+01dB,2.38156572649512e+01°)	(-4.51522199841831e+01dB,1.04572205159980e+01°)
1.17417417417417e+05	(-3.98165820420545e+01dB,2.35912108659590e+01°)	(-4.51086299555740e+01dB,1.02840614026102e+01°)
1.17517517517517e+05	(-3.97635078640533e+01dB,2.33658950979861e+01°)	(-4.50650444073442e+01dB,1.01103937616406e+01°)
1.17617617617617e+05	(-3.97104617743874e+01dB,2.31397085325432e+01°)	(-4.50214635585354e+01dB,9.93621597462855e+00°)
1.17717717717717e+05	(-3.96574444192584e+01dB,2.29126497815929e+01°)	(-4.49778876309159e+01dB,9.76152643745738e+00°)
1.17817817817818e+05	(-3.96044564486996e+01dB,2.26847174981858e+01°)	(-4.49343168489505e+01dB,9.58632356078250e+00°)
1.17917917917918e+05	(-3.95514985165028e+01dB,2.24559103770958e+01°)	(-4.48907514397678e+01dB,9.41060577046038e+00°)
1.18018018018018e+05	(-3.94985712801425e+01dB,2.22262271554519e+01°)	(-4.48471916331259e+01dB,9.23437150797791e+00°)
1.18118118118118e+05	(-3.94456754006974e+01dB,2.19956666133682e+01°)	(-4.48036376613766e+01dB,9.05761923088181e+00°)
1.18218218218218e+05	(-3.93928115427695e+01dB,2.17642275745712e+01°)	(-4.47600897594276e+01dB,8.88034741320815e+00°)
1.18318318318318e+05	(-3.93399803744011e+01dB,2.15319089070234e+01°)	(-4.47165481647028e+01dB,8.70255454591149e+00°)
1.18418418418418e+05	(-3.92871825669885e+01dB,2.12987095235432e+01°)	(-4.46730131171005e+01dB,8.52423913729321e+00°)
1.18518518518518e+05	(-3.92344187951935e+01dB,2.10646283824212e+01°)	(-4.46294848589503e+01dB,8.34539971342905e+00°)
1.18618618618618e+05	(-3.91816897368526e+01dB,2.08296644880320e+01°)	(-4.45859636349673e+01dB,8.16603481859555e+00°)
1.18718718718718e+05	(-3.91289960728831e+01dB,2.05938168914408e+01°)	(-4.45424496922049e+01dB,7.98614301569471e+00°)
1.18818818818819e+05	(-3.90763384871865e+01dB,2.03570846910056e+01°)	(-4.44989432800056e+01dB,7.80572288667717e+00°)
1.18918918918919e+05	(-3.90237176665502e+01dB,2.01194670329728e+01°)	(-4.44554446499494e+01dB,7.62477303296285e+00°)
1.19019019019019e+05	(-3.89711343005452e+01dB,1.98809631120677e+01°)	(-4.44119540558002e+01dB,7.44329207585948e+00°)
1.19119119119119e+05	(-3.89185890814220e+01dB,1.96415721720776e+01°)	(-4.43684717534512e+01dB,7.26127865697810e+00°)
1.19219219219219e+05	(-3.88660827040036e+01dB,1.94012935064293e+01°)	(-4.43249980008665e+01dB,7.07873143864567e+00°)
1.19319319319319e+05	(-3.88136158655759e+01dB,1.91601264587577e+01°)	(-4.42815330580221e+01dB,6.89564910431380e+00°)
1.19419419419419e+05	(-3.87611892657752e+01dB,1.89180704234678e+01°)	(-4.42380771868443e+01dB,6.71203035896419e+00°)
1.19519519519519e+05	(-3.87088036064730e+01dB,1.86751248462881e+01°)	(-4.41946306511456e+01dB,6.52787392950926e+00°)
1.19619619619619e+05	(-3.86564595916583e+01dB,1.84312892248151e+01°)	(-4.41511937165593e+01dB,6.34317856518885e+00°)
1.19719719719719e+05	(-3.86041579273169e+01dB,1.81865631090487e+01°)	(-4.41077666504711e+01dB,6.15794303796134e+00°)
1.19819819819820e+05	(-3.85518993213082e+01dB,1.79409461019182e+01°)	(-4.40643497219495e+01dB,5.97216614288997e+00°)
1.19919919919920e+05	(-3.84996844832391e+01dB,1.76944378597976e+01°)	(-4.40209432016730e+01dB,5.78584669852312e+00°)
1.20020020020020e+05	(-3.84475141243352e+01dB,1.74470380930110e+01°)	(-4.39775473618560e+01dB,5.59898354726867e+00°)
1.20120120120120e+05	(-3.83953889573094e+01dB,1.71987465663263e+01°)	(-4.39341624761725e+01dB,5.41157555576163e+00°)
1.20220220220220e+05	(-3.83433096962276e+01dB,1.69495630994374e+01°)	(-4.38907888196766e+01dB,5.22362161522508e+00°)
1.20320320320320e+05	(-3.82912770563718e+01dB,1.66994875674341e+01°)	(-4.38474266687223e+01dB,5.03512064182359e+00°)
1.20420420420420e+05	(-3.82392917541002e+01dB,1.64485199012597e+01°)	(-4.38040763008801e+01dB,4.84607157700892e+00°)
1.20520520520520e+05	(-3.81873545067053e+01dB,1.61966600881553e+01°)	(-4.37607379948518e+01dB,4.65647338785767e+00°)
1.20620620620620e+05	(-3.81354660322683e+01dB,1.59439081720900e+01°)	(-4.37174120303830e+01dB,4.46632506740000e+00°)
